year,soc_name,soc,sex_name,sex,age,num_ppl,num_ppl_moe
2014,"Computer programmers","151131","Female","2",65,580,213.548
2014,"Computer programmers","151131","Male","1",66,1563,306.305
2014,"Computer programmers","151131","Female","2",66,380,139.401
2014,"Computer programmers","151131","Male","1",67,1321,249.619
2014,"Computer programmers","151131","Female","2",67,215,92.7924
2014,"Computer programmers","151131","Male","1",68,879,239.822
2014,"Computer programmers","151131","Female","2",68,142,96.1397
2014,"Computer programmers","151131","Male","1",69,580,194.616
2014,"Computer programmers","151131","Female","2",69,209,110.812
2014,"Computer programmers","151131","Male","1",70,550,212.545
2014,"Computer programmers","151131","Female","2",70,76,54.7479
2014,"Computer programmers","151131","Male","1",71,279,105.099
2014,"Computer programmers","151131","Female","2",71,84,76.2045
2014,"Computer programmers","151131","Male","1",72,247,148.32
2014,"Computer programmers","151131","Female","2",72,63,54.0727
2014,"Computer programmers","151131","Male","1",73,250,145.274
2014,"Computer programmers","151131","Female","2",73,32,42.6893
2014,"Computer programmers","151131","Male","1",74,171,111.521
2014,"Computer programmers","151131","Female","2",74,67,98.9957
2014,"Computer programmers","151131","Male","1",75,137,77.9364
2014,"Computer programmers","151131","Male","1",76,124,84.1856
2014,"Computer programmers","151131","Female","2",76,17,28.1939
2014,"Computer programmers","151131","Male","1",77,39,47.1315
2014,"Computer programmers","151131","Female","2",77,23,31.9761
2014,"Computer programmers","151131","Male","1",78,12,19.2683
2014,"Computer programmers","151131","Male","1",79,23,36.7097
2014,"Computer programmers","151131","Female","2",79,12,21.0984
2014,"Computer programmers","151131","Male","1",80,27,34.9693
2014,"Computer programmers","151131","Male","1",81,14,24.3243
2014,"Computer programmers","151131","Female","2",81,28,45.3286
2014,"Computer programmers","151131","Male","1",82,14,29.1123
2014,"Computer programmers","151131","Female","2",82,18,29.8852
2014,"Computer programmers","151131","Male","1",83,54,57.7486
2014,"Computer programmers","151131","Male","1",84,12,19.3559
2014,"Computer programmers","151131","Male","1",85,47,57.2746
2014,"Computer programmers","151131","Female","2",87,10,17.9524
2014,"Computer programmers","151131","Male","1",93,22,38.4469
2014,"Computer programmers","151131","Female","2",93,15,23.9939
2014,"Computer programmers","151131","Female","2",94,15,25.8584
2015,"Computer programmers","151131","Male","1",16,152,108.383
2015,"Computer programmers","151131","Female","2",16,14,18.4137
2015,"Computer programmers","151131","Male","1",17,164,103.55
2015,"Computer programmers","151131","Female","2",17,92,69.6284
2015,"Computer programmers","151131","Male","1",18,518,218.079
2015,"Computer programmers","151131","Female","2",18,21,33.6663
2015,"Computer programmers","151131","Male","1",19,1048,236.98
2015,"Computer programmers","151131","Female","2",19,328,142.925
2015,"Computer programmers","151131","Male","1",20,1877,494.664
2015,"Computer programmers","151131","Female","2",20,411,242.032
2015,"Computer programmers","151131","Male","1",21,3360,716.548
2015,"Computer programmers","151131","Female","2",21,754,288.032
2015,"Computer programmers","151131","Male","1",22,4196,662.81
2015,"Computer programmers","151131","Female","2",22,789,231.217
2015,"Computer programmers","151131","Male","1",23,5573,739.43
2015,"Computer programmers","151131","Female","2",23,916,283.41
2015,"Computer programmers","151131","Male","1",24,5534,773.346
2015,"Computer programmers","151131","Female","2",24,1141,342.01
2015,"Computer programmers","151131","Male","1",25,5662,757.778
2015,"Computer programmers","151131","Female","2",25,1586,478.357
2015,"Computer programmers","151131","Male","1",26,8208,948.559
2015,"Computer programmers","151131","Female","2",26,1145,337.912
2015,"Computer programmers","151131","Male","1",27,6915,667.964
