year,geo_name,geo,soc_name,soc,avg_wage,avg_wage_moe
2014,"Little Rock City PUMA, AR","79500US0501000","Computer programmers","151131",51674.4,17131.7
2014,"Faulkner & Lonoke Counties PUMA, AR","79500US0501100","Computer programmers","151131",56995.4,14490.1
2014,"Saline County PUMA","79500US0501200","Computer programmers","151131",73277.2,10552.2
2014,"Pope, Johnson, Yell, Conway & Perry Counties PUMA, AR","79500US0501300","Computer programmers","151131",47339.5,19094.9
2014,"Sebastian & Crawford Counties PUMA, AR","79500US0501400","Computer programmers","151131",59448.8,14080.3
2014,"South Central Arkansas PUMA","79500US0501900","Computer programmers","151131",41067.6,13593.4
2014,"Berkeley & Albany Cities PUMA, CA","79500US0600101","Computer programmers","151131",66441.9,16683.4
2014,"Oakland (Northwest) & Emeryville Cities PUMA, CA","79500US0600102","Computer programmers","151131",75074.4,24334.1
2014,"Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA","79500US0600103","Computer programmers","151131",106547.0,20124.2
2014,"San Leandro, Alameda & Oakland (Southwest) Cities PUMA, CA","79500US0600105","Computer programmers","151131",95795.2,18554.3
2014,"Castro Valley, San Lorenzo & Ashland PUMA, CA","79500US0600106","Computer programmers","151131",75169.7,18842.6
2014,"Hayward City PUMA, CA","79500US0600107","Computer programmers","151131",78418.5,19656.7
2014,"Union City, Newark & Fremont (West) Cities PUMA, CA","79500US0600108","Computer programmers","151131",95735.6,17816.3
2014,"Fremont City (East) PUMA, CA","79500US0600109","Computer programmers","151131",110195.0,8345.64
2014,"Livermore, Pleasanton & Dublin Cities PUMA, CA","79500US0600110","Computer programmers","151131",108655.0,11931.4
2014,"Butte County (Northwest)--Chico City PUMA","79500US0600701","Computer programmers","151131",59019.9,20308.4
2014,"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA","79500US0601301","Computer programmers","151131",82804.1,25457.2
2014,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA","79500US0601302","Computer programmers","151131",100219.0,18725.7
2014,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA","79500US0601303","Computer programmers","151131",72670.3,21085.8
2014,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA","79500US0601304","Computer programmers","151131",107650.0,23688.1
2014,"Contra Costa County (South)--San Ramon City & Danville Town PUMA","79500US0601305","Computer programmers","151131",110404.0,21567.1
2014,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA","79500US0601306","Computer programmers","151131",107393.0,24471.5
2014,"Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA","79500US0601307","Computer programmers","151131",97658.0,33533.9
2014,"Contra Costa County (Northeast)--Antioch City PUMA","79500US0601308","Computer programmers","151131",93730.1,16176.7
2014,"Contra Costa County (East)--Brentwood & Oakley Cities PUMA","79500US0601309","Computer programmers","151131",95079.6,13640.0
2014,"El Dorado Hills PUMA, CA","79500US0601700","Computer programmers","151131",97436.0,7979.79
2014,"Fresno City (North) PUMA, CA","79500US0601902","Computer programmers","151131",76807.2,25421.1
2014,"Bakersfield City (West) PUMA, CA","79500US0602902","Computer programmers","151131",72807.7,23646.7
2014,"Ridgecrest, Arvin, Tehachapi & California City Cities PUMA, CA","79500US0602905","Computer programmers","151131",84261.2,16022.0
2014,"Castaic PUMA, CA","79500US0603701","Computer programmers","151131",91464.5,12545.9
2014,"Santa Clarita City PUMA, CA","79500US0603702","Computer programmers","151131",87798.3,15235.8
2014,"Palmdale City PUMA, CA","79500US0603704","Computer programmers","151131",54485.9,13205.9
2014,"LA City (Northwest/Chatsworth & Porter Ranch) PUMA, CA","79500US0603705","Computer programmers","151131",118395.0,42201.0
2014,"LA City (North Central/Granada Hills & Sylmar) PUMA, CA","79500US0603706","Computer programmers","151131",67061.3,18507.3
2014,"LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA, CA","79500US0603708","Computer programmers","151131",81659.9,21300.9
2014,"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA","79500US0603709","Computer programmers","151131",65965.3,19207.7
2014,"Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA, CA","79500US0603710","Computer programmers","151131",52745.2,21857.9
2014,"Glendora, Claremont, San Dimas & La Verne Cities PUMA, CA","79500US0603711","Computer programmers","151131",66680.1,25986.1
2014,"Pomona City PUMA, CA","79500US0603712","Computer programmers","151131",62033.3,17762.2
2014,"Los Angeles County (East Central)--Covina & Walnut Cities PUMA","79500US0603713","Computer programmers","151131",90346.5,17319.6
2014,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA","79500US0603714","Computer programmers","151131",97958.8,22539.3
2014,"Arcadia, San Gabriel & Temple City Cities PUMA, CA","79500US0603717","Computer programmers","151131",83386.2,27989.8
2014,"Pasadena City PUMA, CA","79500US0603718","Computer programmers","151131",71947.7,25742.5
2014,"Glendale City PUMA, CA","79500US0603719","Computer programmers","151131",55789.9,14091.8
2014,"Los Angeles County (Central)--Burbank City PUMA","79500US0603720","Computer programmers","151131",66164.5,12128.5
2014,"LA City (Northeast/North Hollywood & Valley Village) PUMA, CA","79500US0603721","Computer programmers","151131",68015.4,15612.8
2014,"LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, CA","79500US0603722","Computer programmers","151131",74048.5,29845.9
2014,"LA City (Northwest/Encino & Tarzana) PUMA, CA","79500US0603724","Computer programmers","151131",66162.1,22554.6
2014,"LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA, CA","79500US0603725","Computer programmers","151131",93950.8,34050.5
2014,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA","79500US0603726","Computer programmers","151131",89763.6,37284.9
2014,"LA City (Central/Pacific Palisades) PUMA, CA","79500US0603727","Computer programmers","151131",121312.0,40843.9
2014,"Santa Monica City PUMA, CA","79500US0603728","Computer programmers","151131",110079.0,43490.2
2014,"LA City (West Central/Westwood & West Los Angeles) PUMA, CA","79500US0603729","Computer programmers","151131",68335.0,14576.0
